Model,Best Val AUROC,Best Val AUPRC,Test AUROC,Test AUPRC
SetTransformer,0.8680760095642576,0.4636890580486176,0.7832423111111112,0.34348792416206375
DeepSets,0.8879413254266135,0.525895492232323,0.8797039111111109,0.5050487431289398
GraphSetConv,0.91342283593433,0.6006328942432986,0.8817099111111112,0.5233687770926403
