Model,Val_AUROC_Mean,Val_AUROC_Std,Val_AUPRC_Mean,Val_AUPRC_Std,Test_AUROC_Mean,Test_AUROC_Std,Test_AUPRC_Mean,Test_AUPRC_Std
SetTransformer,0.8644519855416812,0.053174219091283864,0.8383121084712781,0.088637203829140430.8254676963676234,0.057830392938690266,0.7701725149038509,0.04705527217993705
DeepSets,0.8983807340704381,0.030933637849136837,0.8739071259182791,0.05406665887615337,0.8949292520712561,0.04132151361865431,0.8755414954031092,0.042418720718994656
GraphSetConv,0.8758108131127988,0.014709216685777193,0.868777646410823,0.04119886096950507,0.8123808940346121,0.08182861677923466,0.7736941819016521,0.08705409799886722
