Model,Best Val Acc,Best Val F1,Best Val AUROC,Best Val AUPRC,Test Acc,Test F1,Test AUROC,Test AUPRC
SetTransformer,0.9429233361415332,0.8697740435724933,,0.8420366725114554,0.941921052631579,0.8695314784584441,,0.8696486239655128
DeepSets,0.81455349620893,0.6651546985251335,,0.7225010575115095,0.8147368421052632,0.6723469211742693,,0.7382198761429413
GraphSetConv,0.9436604886267902,0.8819796050388918,,0.8572160238885571,0.9458947368421052,0.8761942365671406,,0.8890846042720029
GCN,0.7208298230834035,0.652018381666105,,0.6637015206571589,0.7223684210526315,0.6091929035043898,,0.6688073162904296
