Model,Best Val Acc,Best Val F1,Best Val AUROC,Best Val AUPRC,Test Acc,Test F1,Test AUROC,Test AUPRC
SetTransformer,0.9430812973883741,0.8551172610175768,,0.8365254318121813,0.9418157894736842,0.8788888071997222,,0.8720030731444888
DeepSets,0.810341196293176,0.6639014974945553,,0.7133015062645686,0.8151315789473684,0.6738673967844048,,0.7321018001299945
GraphSetConv,0.9436604886267902,0.8844260407607317,,0.8569003949374574,0.9438157894736842,0.8855195258084692,,0.8861815725288603
GCN,0.720513900589722,0.6304960369980361,,0.6534457856634484,0.7192105263157895,0.6092945404319933,,0.6626854870921868
