epoch,model,train_loss,val_auroc,val_auprc
1,SetTransformer,0.6410351991653442,1.0,1.0
1,DeepSets,0.6732746362686157,0.8,0.41666666666666663
1,GraphSetConv,0.5865950187047323,0.8,0.7083333333333333
2,SetTransformer,0.5937315225601196,1.0,1.0
2,DeepSets,0.5888426502545675,0.8,0.41666666666666663
2,GraphSetConv,0.26961032549540204,1.0,1.0
3,SetTransformer,0.5923276742299398,1.0,1.0
3,DeepSets,0.579258531332016,0.8,0.41666666666666663
3,GraphSetConv,0.16241922974586487,1.0,1.0
4,SetTransformer,0.5937362313270569,1.0,1.0
4,DeepSets,0.5907989144325256,0.8,0.41666666666666663
4,GraphSetConv,0.06415273621678352,1.0,1.0
5,SetTransformer,0.597755491733551,1.0,1.0
5,DeepSets,0.5867355664571127,0.8,0.41666666666666663
5,GraphSetConv,0.07012366006771724,1.0,1.0
6,SetTransformer,0.5888347427050272,1.0,1.0
6,DeepSets,0.6083853642145792,0.8,0.41666666666666663
6,GraphSetConv,0.06300583978494008,1.0,1.0
7,SetTransformer,0.5922256310780843,1.0,1.0
7,DeepSets,0.5911031166712443,0.9,0.7916666666666666
7,GraphSetConv,0.08067191857844591,1.0,1.0
8,SetTransformer,0.6205760836601257,1.0,1.0
8,DeepSets,0.5966452360153198,0.9,0.7916666666666666
8,GraphSetConv,0.01659622509032488,1.0,1.0
9,SetTransformer,0.6019682884216309,1.0,1.0
9,DeepSets,0.5983693997065226,0.9,0.7916666666666666
9,GraphSetConv,0.01048186452438434,1.0,1.0
10,SetTransformer,0.5966977775096893,1.0,1.0
10,DeepSets,0.5954023202260336,0.9,0.7916666666666666
10,GraphSetConv,0.007333694801976283,1.0,1.0
11,SetTransformer,0.5849645535151163,1.0,1.0
11,DeepSets,0.5914113322893778,0.9,0.7916666666666666
11,GraphSetConv,0.007762644595156114,1.0,1.0
12,SetTransformer,0.5873986085255941,1.0,1.0
12,DeepSets,0.5814912716547648,0.9,0.7916666666666666
12,GraphSetConv,0.005483816688259442,1.0,1.0
13,SetTransformer,0.5929763118426005,1.0,1.0
