epoch,model,train_loss,val_auroc,val_auprc
1,SetTransformer,0.5966454047835275,0.7792747837658017,0.938271307169802
1,DeepSets,0.5782971840895964,0.792332002661344,0.9431140798131703
1,GraphSetConv,0.4798649758770225,0.7425149700598803,0.9278750196429097
2,SetTransformer,0.5680215685220247,0.7951596806387226,0.942251233246804
2,DeepSets,0.5400790704435177,0.7885063206919495,0.9396143516303882
2,GraphSetConv,0.46048445648021913,0.7879241516966068,0.9358052709478498
3,SetTransformer,0.49548594050862815,0.7908349966733201,0.9374500798191843
3,DeepSets,0.4532729234923138,0.7953260146373919,0.9459295041684472
3,GraphSetConv,0.41663200399848854,0.7035096473719228,0.9005830701043369
4,SetTransformer,0.4994408569476578,0.7825182967398537,0.940280537704075
4,DeepSets,0.4543330234088255,0.794328010645376,0.9468758979923552
4,GraphSetConv,0.4007122672340843,0.7251330671989354,0.9072510199377168
5,SetTransformer,0.46603143583522755,0.7844311377245509,0.9368130282830917
5,DeepSets,0.4440704185641214,0.7926646706586826,0.9459679667283307
5,GraphSetConv,0.4087213711457306,0.7880073186959414,0.9435327371389547
6,SetTransformer,0.43953705486956607,0.7813539587491684,0.9341632762558736
6,DeepSets,0.43246275939968193,0.7878409846972723,0.9424554527181216
6,GraphSetConv,0.3887736618183972,0.7933300066533598,0.94179853901784
7,SetTransformer,0.43138390612066463,0.7770292747837658,0.9295221374685467
7,DeepSets,0.4345093618952826,0.781187624750499,0.9405983536253675
7,GraphSetConv,0.38843349417608775,0.7404357950765137,0.9245708812067196
8,SetTransformer,0.4454930099878418,0.7840153027278776,0.9253944021408356
8,DeepSets,0.438906914648715,0.7871756487025948,0.9413831142624736
8,GraphSetConv,0.39683500819661643,0.7703759148369927,0.9372478252126578
9,SetTransformer,0.4310022413395764,0.7800232867598137,0.9251830265798933
9,DeepSets,0.41814861002932774,0.7735362608117099,0.9353487415109198
9,GraphSetConv,0.387615544574984,0.7815202927478376,0.9306987132640477
10,SetTransformer,0.4247332654809684,0.7768629407850964,0.91748083361584
10,DeepSets,0.41096654316682496,0.7727045908183633,0.9300830483670376
10,GraphSetConv,0.3921273072783867,0.7504158349966733,0.9293266416194408
11,SetTransformer,0.4084093240874537,0.7707085828343314,0.9203529482590229
11,DeepSets,0.39909320651145463,0.770542248835662,0.9246430640256389
11,GraphSetConv,0.3583291600761789,0.7369427811044577,0.9167935424194396
12,SetTransformer,0.3930688937393467,0.7765302727877579,0.9144770255618725
12,DeepSets,0.40906379296538536,0.7678809048569528,0.9216184727062198
12,GraphSetConv,0.3553984257277478,0.7441783100465735,0.9237082970164425
13,SetTransformer,0.39365194804882736,0.7652195608782435,0.9175181311544496
13,DeepSets,0.40233977138996124,0.7677145708582834,0.9213478901128059
13,GraphSetConv,0.3457093560293819,0.7236360612109116,0.9168414453441167
14,SetTransformer,0.4079531137360616,0.780688622754491,0.9126753499958642
14,DeepSets,0.4112021399013112,0.7643878908848969,0.9164630398196875
14,GraphSetConv,0.36531426715716886,0.7835163007318696,0.9361825255737989
15,SetTransformer,0.43622940887561007,0.780688622754491,0.9108204713923428
15,DeepSets,0.39620705894874725,0.7527445109780438,0.9101455260024288
15,GraphSetConv,0.33399245728937427,0.8251829673985364,0.946034348061761
16,SetTransformer,0.3908523093448596,0.7783599467731204,0.9100794439063753
16,DeepSets,0.40499403260731964,0.7539088489687292,0.9060470972175586
16,GraphSetConv,0.3506229138943586,0.7770292747837658,0.9137660029358083
17,SetTransformer,0.3829332817806287,0.7820192947438456,0.9180108380904002
17,DeepSets,0.39467592487174474,0.7613107119095144,0.9152657792798081
17,GraphSetConv,0.3306321464060398,0.7828509647371924,0.937874643910277
18,SetTransformer,0.379047289323271,0.7858449767132402,0.9140159801595846
18,DeepSets,0.37742230547278116,0.7697937458416501,0.9066430966438443
18,GraphSetConv,0.32487565521778683,0.7806886227544911,0.9338371263093406
19,SetTransformer,0.39175701576672245,0.7915003326679974,0.914882459650397
19,DeepSets,0.3910891211099839,0.7897538256819694,0.9126922079853667
19,GraphSetConv,0.3188953445701117,0.7270459081836327,0.9211708565058605
20,SetTransformer,0.3719537557845705,0.7900033266799734,0.9228629135538651
20,DeepSets,0.37244212526953624,0.7545741849634066,0.909181497715575
20,GraphSetConv,0.31373963279000827,0.8211077844311376,0.9539748703294394
21,SetTransformer,0.3772343716092324,0.7934963406520293,0.9175837462841494
21,DeepSets,0.36519202631845904,0.7452594810379242,0.909538842332159
21,GraphSetConv,0.3356624702724178,0.8137890884896873,0.9343515779396528
22,SetTransformer,0.383567836177483,0.7885063206919494,0.9185384660878815
22,DeepSets,0.3767576427774483,0.7733699268130405,0.9142183347902557
22,GraphSetConv,0.3220432492789258,0.779690618762475,0.941301093178436
23,SetTransformer,0.3793184774812688,0.7485861610113107,0.9058191552979848
23,DeepSets,0.37551563492651735,0.7703759148369926,0.9009408811160137
23,GraphSetConv,0.3048751131118683,0.7783599467731206,0.9385564822397554
24,SetTransformer,0.36537081522218295,0.7820192947438456,0.91897423971867
24,DeepSets,0.3785096188442091,0.7702095808383234,0.9066416204871177
24,GraphSetConv,0.2929254115632411,0.7853459747172321,0.9367132250109307
25,SetTransformer,0.3698866752007704,0.7873419827012641,0.9177590158765335
25,DeepSets,0.3521516914113184,0.7640552228875581,0.90783595519356
25,GraphSetConv,0.304373855001471,0.7758649367930806,0.934486536871706
26,SetTransformer,0.37100134049071354,0.7826846307385229,0.9155734154969467
26,DeepSets,0.34488062669387026,0.77104125083167,0.9077722397627035
26,GraphSetConv,0.3122880668117759,0.7653027278775781,0.9238877976032572
27,SetTransformer,0.3614367885787166,0.7873419827012641,0.9248341578089545
27,DeepSets,0.3527448573306705,0.7755322687957418,0.9048710038003428
27,GraphSetConv,0.31028576245468653,0.75374251497006,0.9264917891634132
28,SetTransformer,0.35613930828115914,0.7855123087159014,0.9105473850427204
28,DeepSets,0.3521314128563645,0.780189620758483,0.9079771886621573
28,GraphSetConv,0.3165506229558018,0.7633898868928809,0.9210660531924809
29,SetTransformer,0.3520739394962118,0.7924983366600132,0.9204864583584181
29,DeepSets,0.34563177254762545,0.7996506986027944,0.9140176862410246
29,GraphSetConv,0.2781794795326972,0.7963240186294078,0.9405897331811799
30,SetTransformer,0.34913562648416907,0.7959913506320692,0.9204777654095236
30,DeepSets,0.3530481302420075,0.7805222887558217,0.9131199555754229
30,GraphSetConv,0.27940109891168186,0.7756986027944112,0.9223612491027221
31,SetTransformer,0.3426440055115839,0.7903359946773121,0.9159906321019595
31,DeepSets,0.34402517714862074,0.7803559547571524,0.9058759467714594
31,GraphSetConv,0.2814928438054042,0.7208083832335329,0.9030126974669616
32,SetTransformer,0.3506801800613993,0.7918330006653361,0.9197756877445982
32,DeepSets,0.33244643678491037,0.7795242847638058,0.9087389276117672
32,GraphSetConv,0.281783642100819,0.7790252827677977,0.938600740080169
33,SetTransformer,0.34954846968476694,0.7853459747172322,0.9169293564255567
33,DeepSets,0.34602940835979545,0.7672155688622755,0.9110341906641489
33,GraphSetConv,0.2868970272581229,0.7983200266134398,0.9426530775358025
34,SetTransformer,0.3693850136288766,0.7988190286094478,0.9222965465095787
34,DeepSets,0.3425510595186373,0.7698769128409847,0.9032252841488321
34,GraphSetConv,0.2809350469641471,0.8064703925482369,0.9430781504492398
35,SetTransformer,0.3359432780508245,0.7756986027944112,0.9088161928303088
35,DeepSets,0.3318667585511556,0.7828509647371923,0.9142031510180164
35,GraphSetConv,0.2772717416035325,0.8075515635395875,0.9481006618450826
36,SetTransformer,0.35692967520503516,0.7865103127079176,0.9199214852934104
36,DeepSets,0.3283383052670554,0.7826846307385229,0.9125259370080783
36,GraphSetConv,0.2605877732125561,0.7659680638722555,0.9282292286059164
37,SetTransformer,0.3490477477231722,0.79083499667332,0.9192199024067133
37,DeepSets,0.33367676551589803,0.7700432468396541,0.9080419110176511
37,GraphSetConv,0.2511331798152977,0.7574850299401198,0.9286438718006216
38,SetTransformer,0.349938665882925,0.7989853626081171,0.9225762363127591
38,DeepSets,0.327150118987212,0.7905023286759814,0.9150651820646267
38,GraphSetConv,0.2945120474846845,0.8385728542914173,0.9532977144946219
39,SetTransformer,0.35856669890076925,0.791833000665336,0.9213179823848897
39,DeepSets,0.3277988134140379,0.7673819028609448,0.9037358520040483
39,GraphSetConv,0.27289134607221305,0.8177811044577512,0.9504432068411681
40,SetTransformer,0.3423374468104893,0.8041417165668663,0.9253621115981551
40,DeepSets,0.3293421148751559,0.7780272787757818,0.9039563067391492
40,GraphSetConv,0.28472551829024645,0.8599467731204258,0.9569087990424601
41,SetTransformer,0.34462668143966224,0.8054723885562209,0.9248310017613359
41,DeepSets,0.31756071093377103,0.7768629407850965,0.9044582029893244
41,GraphSetConv,0.2720466891115301,0.7911676646706587,0.9357311650291021
