Model,Best Val AUROC,Best Val AUPRC,Test AUROC,Test AUPRC,Final Train Loss
SetTransformer,0.9341319882303489,0.5873174699540804,0.9442621368593764,0.689025869148858,0.07957038325024023
DeepSets,0.9741908364859184,0.7346790250145574,0.9864877907537881,0.8535946600875204,0.02917447424716447
GraphSetConv,0.9756620428751577,0.8239467249712239,0.9665331531705434,0.6321340991079426,0.008620803146247002
