epoch,model,train_loss,val_auroc,val_auprc
1,SetTransformer,0.7852873802185059,0.3125,0.3723214285714286
1,DeepSets,0.8146959096193314,0.625,0.6672619047619048
1,GraphSetConv,0.5526850521564484,0.875,0.8708333333333332
2,SetTransformer,0.6874279826879501,0.75,0.5791666666666666
2,DeepSets,0.7491736710071564,0.6875,0.7931547619047619
2,GraphSetConv,0.2559330351650715,0.8125,0.7666666666666666
3,SetTransformer,0.7050075232982635,0.875,0.8708333333333332
3,DeepSets,0.7075182795524597,0.6875,0.706845238095238
3,GraphSetConv,0.19992656260728836,0.875,0.8708333333333332
4,SetTransformer,0.7069086730480194,0.75,0.73125
4,DeepSets,0.7071449309587479,0.625,0.519345238095238
4,GraphSetConv,0.08073680847883224,1.0,1.0
5,SetTransformer,0.6963372975587845,0.75,0.5791666666666666
5,DeepSets,0.7135704904794693,0.6875,0.706845238095238
5,GraphSetConv,0.06986888218671083,1.0,1.0
6,SetTransformer,0.6898734420537949,0.8125,0.7666666666666666
6,DeepSets,0.706068217754364,0.625,0.6672619047619048
6,GraphSetConv,0.01779258018359542,0.9375,0.94375
7,SetTransformer,0.690828487277031,0.8125,0.7666666666666666
7,DeepSets,0.7338607460260391,0.625,0.6672619047619048
7,GraphSetConv,0.014955710503272712,0.9375,0.94375
8,SetTransformer,0.6896212100982666,0.8125,0.8839285714285714
8,DeepSets,0.7021148055791855,0.75,0.73125
8,GraphSetConv,0.035191542003303766,0.9375,0.94375
9,SetTransformer,0.6900714188814163,0.8125,0.8839285714285714
9,DeepSets,0.6877066940069199,0.75,0.73125
9,GraphSetConv,0.011518593993969262,1.0,1.0
10,SetTransformer,0.6903073340654373,0.8125,0.7666666666666666
10,DeepSets,0.7063402384519577,0.6875,0.706845238095238
10,GraphSetConv,0.06645515200216323,1.0,1.0
11,SetTransformer,0.6906828433275223,0.8125,0.7666666666666666
11,DeepSets,0.7121527343988419,0.5625,0.6422619047619047
11,GraphSetConv,0.003475435310974717,1.0,1.0
12,SetTransformer,0.6896918565034866,0.8125,0.7666666666666666
12,DeepSets,0.6966852843761444,0.6875,0.706845238095238
12,GraphSetConv,0.007549368368927389,1.0,1.0
13,SetTransformer,0.6915540546178818,0.75,0.5791666666666666
