Model,Val_AUROC_Mean,Val_AUROC_Std,Val_AUPRC_Mean,Val_AUPRC_Std,Test_AUROC_Mean,Test_AUROC_Std,Test_AUPRC_Mean,Test_AUPRC_Std
SetTransformer,1.0,0.0,1.0,0.0,0.8800000000000001,0.07823042886243181,0.8449314574314574,0.07808052006668267
DeepSets,1.0,0.0,1.0,0.0,0.9640000000000001,0.02939387691339813,0.9503730158730159,0.033916735148808906
GraphSetConv,1.0,0.0,1.0,0.0,0.9719999999999999,0.020396078054371124,0.9410000000000001,0.04806939428229434
