epoch,model,train_loss,val_auroc,val_auprc
1,SetTransformer,0.8783503994345665,0.3125,0.37803862803862803
1,DeepSets,0.7322572320699692,0.515625,0.46320415695415695
1,GraphSetConv,0.5539611130952835,0.796875,0.7850852272727273
2,SetTransformer,0.7011964842677116,0.625,0.5823280885780886
2,DeepSets,0.7085294276475906,0.515625,0.472398088023088
2,GraphSetConv,0.27933831699192524,0.953125,0.949156746031746
3,SetTransformer,0.7079245150089264,0.625,0.5436511405261406
3,DeepSets,0.692413903772831,0.84375,0.9059027777777778
3,GraphSetConv,0.2273460840806365,0.96875,0.9685019841269842
4,SetTransformer,0.6890861243009567,0.734375,0.6835497835497835
4,DeepSets,0.698902852833271,0.796875,0.8118303571428571
4,GraphSetConv,0.2796722836792469,1.0,1.0
5,SetTransformer,0.6911434456706047,0.78125,0.6420319264069264
5,DeepSets,0.6881228387355804,0.703125,0.660051406926407
5,GraphSetConv,0.18148092133924365,0.984375,0.9852430555555556
6,SetTransformer,0.6903796941041946,0.765625,0.6146013708513709
6,DeepSets,0.7023716792464256,0.734375,0.6431547619047618
6,GraphSetConv,0.1187554954085499,0.984375,0.9852430555555556
7,SetTransformer,0.6925754770636559,0.765625,0.6312432359307358
7,DeepSets,0.6881399601697922,0.71875,0.5947649572649573
7,GraphSetConv,0.05461933650076389,0.984375,0.9852430555555556
8,SetTransformer,0.6910640895366669,0.875,0.7979414682539683
8,DeepSets,0.6879017651081085,0.71875,0.6054258241758241
8,GraphSetConv,0.11069285531993955,1.0,1.0
9,SetTransformer,0.692426435649395,0.296875,0.3737557581307581
9,DeepSets,0.6856082826852798,0.71875,0.5942370129870129
9,GraphSetConv,0.13468544284114614,0.984375,0.9852430555555556
10,SetTransformer,0.6916459798812866,0.671875,0.5431953463203463
10,DeepSets,0.6967644393444061,0.75,0.7083066239316239
10,GraphSetConv,0.11412883806042373,1.0,1.0
11,SetTransformer,0.6912757977843285,0.75,0.6045319264069264
11,DeepSets,0.6993209719657898,0.796875,0.7281430375180376
11,GraphSetConv,0.16486225370317698,1.0,1.0
12,SetTransformer,0.6890964806079865,0.703125,0.562493235930736
12,DeepSets,0.6856587156653404,0.796875,0.8118303571428571
12,GraphSetConv,0.045806689420714974,1.0,1.0
13,SetTransformer,0.6927681043744087,0.78125,0.6343930375180376
13,DeepSets,0.6963478624820709,0.8125,0.8089195526695526
13,GraphSetConv,0.05810795276192948,0.984375,0.9852430555555556
14,SetTransformer,0.6880322471261024,0.765625,0.6146013708513709
14,DeepSets,0.6906374171376228,0.8125,0.7802263708513709
14,GraphSetConv,0.028482201683800668,1.0,1.0
15,SetTransformer,0.6887756288051605,0.84375,0.8400974025974026
15,DeepSets,0.6961110830307007,0.75,0.7808441558441558
15,GraphSetConv,0.08770123095018789,1.0,1.0
16,SetTransformer,0.6886896938085556,0.75,0.5937680375180375
16,DeepSets,0.6894204616546631,0.75,0.7405982905982906
16,GraphSetConv,0.07653591374401003,1.0,1.0
17,SetTransformer,0.6930136457085609,0.765625,0.6146013708513709
17,DeepSets,0.6916497349739075,0.75,0.7774267399267398
17,GraphSetConv,0.051006209396291524,1.0,1.0
18,SetTransformer,0.6939032897353172,0.484375,0.45152260933510935
18,DeepSets,0.6785360127687454,0.71875,0.7684752747252747
18,GraphSetConv,0.005509548005647957,1.0,1.0
19,SetTransformer,0.6887278035283089,0.890625,0.8095734126984127
19,DeepSets,0.6733123511075974,0.78125,0.789795621045621
19,GraphSetConv,0.04555043856089469,1.0,1.0
20,SetTransformer,0.6894310265779495,0.859375,0.7851686507936508
20,DeepSets,0.6731897071003914,0.75,0.7774267399267398
20,GraphSetConv,0.002315496269147843,1.0,1.0
21,SetTransformer,0.6907601878046989,0.875,0.7158234126984127
21,DeepSets,0.6593674942851067,0.71875,0.7684752747252747
21,GraphSetConv,0.02532949490705505,1.0,1.0
22,SetTransformer,0.6886865943670273,0.796875,0.6521013708513708
22,DeepSets,0.6529921814799309,0.796875,0.7938721001221001
22,GraphSetConv,0.017460738599766046,1.0,1.0
