Model,Val_AUROC_Mean,Val_AUROC_Std,Val_AUPRC_Mean,Val_AUPRC_Std,Test_AUROC_Mean,Test_AUROC_Std,Test_AUPRC_Mean,Test_AUPRC_Std
SetTransformer,0.9899695498625146,0.0014759546353121124,0.928606361393005,0.010465413617793734,0.9791413333333333,0.002952215857476511,0.8690973004146467,0.014003287988641743
DeepSets,0.9928843634637188,0.0014768728529224904,0.9484894596209328,0.009801939218125442,0.990032888888889,0.0013521650859836672,0.9241433959499654,0.011809664710414764
GraphSetConv,0.9941494161275294,0.0007566523614914385,0.9558596938257541,0.006472753367383414,0.9874533333333334,0.002587911880500344,0.9201217050584802,0.014736650336318284
