Model,Val_AUROC_Mean,Val_AUROC_Std,Val_AUPRC_Mean,Val_AUPRC_Std,Test_AUROC_Mean,Test_AUROC_Std,Test_AUPRC_Mean,Test_AUPRC_Std
SetTransformer,0.9949999999999999,0.009999999999999964,0.9887499999999999,0.02250000000000001,0.9198830409356725,0.0215344475316046,0.8537484925166083,0.012854534142644824
DeepSets,0.9949999999999999,0.009999999999999964,0.9887499999999999,0.02250000000000001,0.92046783625731,0.02470024804905597,0.832691543922194,0.08977825175099842
GraphSetConv,1.0,0.0,1.0,0.0,0.887719298245614,0.024083345359033916,0.8178068258901593,0.048158682448424486
