Model,Val_AUROC_Mean,Val_AUROC_Std,Val_AUPRC_Mean,Val_AUPRC_Std,Test_AUROC_Mean,Test_AUROC_Std,Test_AUPRC_Mean,Test_AUPRC_Std
SetTransformer,0.8234271590396839,0.04059996755480842,0.7962901527009267,0.06154070177790736,0.8451951103525396,0.03101771450849931,0.7938172737631002,0.033005193054965125
DeepSets,0.8403942664550186,0.02465213965688762,0.7938620501672825,0.06838433439541457,0.8490784925603296,0.037339505441386055,0.8091373940715239,0.034640374092667396
GraphSetConv,0.8810052602363809,0.02682193332948171,0.8548036974425457,0.05291139431102213,0.8269617821178702,0.04345545725607993,0.7630680873496621,0.028151460404826176
