epoch,model,train_loss,val_auroc,val_auprc
1,SetTransformer,0.6258011857668558,0.39999999999999997,0.21666666666666667
1,DeepSets,0.6410934726397196,0.6,0.2875
1,GraphSetConv,0.6060966153939565,0.8,0.7083333333333333
2,SetTransformer,0.6112089157104492,1.0,1.0
2,DeepSets,0.5993047952651978,0.6,0.2875
2,GraphSetConv,0.2798718959093094,0.9,0.7916666666666666
3,SetTransformer,0.613685409228007,0.9,0.7916666666666666
3,DeepSets,0.587658961613973,0.6,0.2875
3,GraphSetConv,0.15693902721007666,0.9,0.7916666666666666
4,SetTransformer,0.5905634164810181,0.9,0.7916666666666666
4,DeepSets,0.5913677314917246,0.6,0.2875
4,GraphSetConv,0.09392213821411133,1.0,1.0
5,SetTransformer,0.6055265168348948,0.9,0.7916666666666666
5,DeepSets,0.5826910237471262,0.6,0.2875
5,GraphSetConv,0.03466713863114516,1.0,1.0
6,SetTransformer,0.5914030273755392,0.9,0.7916666666666666
6,DeepSets,0.5887986620267233,0.6,0.2875
6,GraphSetConv,0.01310981996357441,1.0,1.0
7,SetTransformer,0.5958024859428406,0.9,0.7916666666666666
7,DeepSets,0.608106811841329,0.7,0.3333333333333333
7,GraphSetConv,0.14449560983727375,1.0,1.0
8,SetTransformer,0.5951718290646871,0.9,0.7916666666666666
8,DeepSets,0.5695681770642599,0.7,0.6625
8,GraphSetConv,0.04650854474554459,1.0,1.0
9,SetTransformer,0.5927373568216959,0.9,0.7916666666666666
9,DeepSets,0.5825242797533671,0.7,0.6625
9,GraphSetConv,0.00447119539603591,1.0,1.0
10,SetTransformer,0.5879704554875692,0.8,0.41666666666666663
10,DeepSets,0.5972565015157064,0.7,0.6625
10,GraphSetConv,0.003855190627897779,1.0,1.0
11,SetTransformer,0.609115719795227,0.8,0.41666666666666663
11,DeepSets,0.5826506912708282,0.7,0.6625
11,GraphSetConv,0.13177793589420617,1.0,1.0
12,SetTransformer,0.6043388148148855,0.8,0.41666666666666663
12,DeepSets,0.5912247697512308,0.7,0.6625
12,GraphSetConv,0.003277611065035065,1.0,1.0
13,SetTransformer,0.5894903937975565,0.8,0.41666666666666663
13,DeepSets,0.5826700528462728,0.7,0.6625
13,GraphSetConv,0.002598932090525826,1.0,1.0
14,SetTransformer,0.5893054207166036,0.8,0.41666666666666663
14,DeepSets,0.5958978732426962,0.7,0.6625
14,GraphSetConv,0.002113425754942,1.0,1.0
15,SetTransformer,0.5922897855440775,0.8,0.41666666666666663
15,DeepSets,0.5875958204269409,0.8,0.7083333333333333
15,GraphSetConv,0.002089650991062323,1.0,1.0
16,SetTransformer,0.5834291378657023,0.8,0.41666666666666663
16,DeepSets,0.5882234970728556,0.8,0.7083333333333333
16,GraphSetConv,0.001829780211361746,1.0,1.0
17,SetTransformer,0.5850547254085541,0.9,0.7916666666666666
17,DeepSets,0.5912839869658152,0.9,0.7916666666666666
17,GraphSetConv,0.0017219442718972762,1.0,1.0
18,SetTransformer,0.5716739495595297,0.9,0.7916666666666666
18,DeepSets,0.5918050607045492,0.9,0.7916666666666666
18,GraphSetConv,0.0017485497519373894,1.0,1.0
19,SetTransformer,0.5674353440602621,0.9,0.7916666666666666
19,DeepSets,0.58529265721639,0.9,0.7916666666666666
19,GraphSetConv,0.0015422020805999637,1.0,1.0
20,SetTransformer,0.4900122980276744,0.9,0.7916666666666666
