Model,Val_Acc_Mean,Val_Acc_Std,Val_F1_Mean,Val_F1_Std,Val_AUROC_Mean,Val_AUROC_Std,Val_AUPRC_Mean,Val_AUPRC_Std,Test_Acc_Mean,Test_Acc_Std,Test_F1_Mean,Test_F1_Std,Test_AUROC_Mean,Test_AUROC_Std,Test_AUPRC_Mean,Test_AUPRC_Std
SetTransformer,0.9438184498736311,0.0007257818424647462,0.8527411785204503,0.004418479300585412,,,0.8352134837620107,0.005866620154869489,0.9426631578947369,0.00090679185491714,0.8753108386796399,0.005678407361142065,,,0.8686167109586979,0.00514913670070151
DeepSets,0.8102990732940185,0.004372785276093302,0.6471716555237544,0.008342226820678499,,,0.7077248326793567,0.012269756678337265,0.8133526315789474,0.002230834036546651,0.6708499920716573,0.008700050705714824,,,0.7360166490977619,0.005473921698409168
GraphSetConv,0.9448504633529907,0.0013260384362845064,0.8779152441589702,0.0038047791072967547,,,0.8566133963018817,0.0019392035277756169,0.9452684210526314,0.0007851460333140766,0.8772088605852083,0.004647412792129963,,,0.8878260248871787,0.001573475092452462
GCN,0.7214406065711879,0.0024914961734878,0.6327541393402918,0.01264759732016201,,,0.6567801670976987,0.0032986847792940486,0.7219157894736843,0.002393342566925837,0.6241711653110258,0.013835449685498996,,,0.6663711075562853,0.003096104628057972
