Model,Best Val AUROC,Best Val AUPRC,Test AUROC,Test AUPRC,Final Train Loss
SetTransformer,1.0,1.0000000000000002,1.0,1.0,1.639126594454865e-08
DeepSets,1.0,1.0000000000000002,1.0,1.0,4.8962890089931935e-06
GraphSetConv,1.0,1.0000000000000002,1.0,1.0,0.025546168085566024
