Model,Val_AUROC_Mean,Val_AUROC_Std,Val_AUPRC_Mean,Val_AUPRC_Std,Test_AUROC_Mean,Test_AUROC_Std,Test_AUPRC_Mean,Test_AUPRC_Std
SetTransformer,0.833682634730539,0.003928582286955333,0.931912070286278,0.007257576895723013,0.8362453095684803,0.011675659009213624,0.9401031317293136,0.00677221824942148
DeepSets,0.8360445775116434,0.007040193337655058,0.935830314599041,0.006514828784243792,0.8405214196372732,0.010353296082225037,0.9438229557077831,0.004129261437601743
GraphSetConv,0.8608948769128411,0.01585718811017635,0.9524060728399805,0.006374600225936625,0.8539985928705439,0.024111473722976853,0.9518071421330688,0.01083481637573854
