Model,Best Val AUROC,Best Val AUPRC,Test AUROC,Test AUPRC,Final Train Loss
SetTransformer,1.0,1.0,0.85,0.8125,7.781717048516157e-09
DeepSets,1.0,1.0,1.0,1.0,2.3398974462907063e-05
GraphSetConv,1.0,1.0,0.96,0.9183333333333332,4.942943148004512e-05
