Model,Val_AUROC_Mean,Val_AUROC_Std,Val_AUPRC_Mean,Val_AUPRC_Std,Test_AUROC_Mean,Test_AUROC_Std,Test_AUPRC_Mean,Test_AUPRC_Std
SetTransformer,0.8552804213249562,0.0061997922829648035,0.8791321801275476,0.007136818317062709,0.7872660518122541,0.006266298513257539,0.8092820715406145,0.013105160923440926
DeepSets,0.8540554066956174,0.0018189531107388366,0.8797580255422496,0.003267260545140042,0.8136621042119485,0.004397167050768517,0.8441087793446274,0.008839738615035323
GraphSetConv,0.8459030151837135,0.0036855460130761743,0.8669553691535933,0.007434282832594959,0.7738340284712839,0.012394705236498807,0.803448175435479,0.015852543871219735
